Average Revenue by Year:
Year: 1915, Average Revenue: $5,568,682.00
Year: 1916, Average Revenue: $8,000,000.00
Year: 1918, Average Revenue: $8,000,000.00
Year: 1921, Average Revenue: $2,500,000.00
Year: 1922, Average Revenue: $400,200.00
Year: 1923, Average Revenue: $623.00
Year: 1924, Average Revenue: $1,213,880.00
Year: 1925, Average Revenue: $5,708,183.00
Year: 1926, Average Revenue: $812,439.00
Year: 1927, Average Revenue: $559,433.00
Year: 1928, Average Revenue: $543,529.00
Year: 1929, Average Revenue: $4,358,000.00
Year: 1930, Average Revenue: $4,003,970.00
Year: 1931, Average Revenue: $3,814,592.00
Year: 1932, Average Revenue: $798,512.00
Year: 1933, Average Revenue: $4,595,166.00
Year: 1934, Average Revenue: $2,347,666.00
Year: 1935, Average Revenue: $2,010,366.00
Year: 1936, Average Revenue: $3,734,000.00
Year: 1937, Average Revenue: $92,539,711.00
Year: 1938, Average Revenue: $5,138,033.00
Year: 1939, Average Revenue: $74,864,030.00
Year: 1940, Average Revenue: $38,758,400.00
Year: 1941, Average Revenue: $8,779,926.00
Year: 1942, Average Revenue: $50,136,775.00
Year: 1943, Average Revenue: $1,403,312.00
Year: 1944, Average Revenue: $5,529,285.00
Year: 1945, Average Revenue: $9,503,064.00
Year: 1946, Average Revenue: $19,539,716.00
Year: 1947, Average Revenue: $3,976,480.00
Year: 1948, Average Revenue: $2,834,681.00
Year: 1949, Average Revenue: $5,704,269.00
Year: 1950, Average Revenue: $46,465,074.00
Year: 1951, Average Revenue: $64,965,000.00
Year: 1952, Average Revenue: $8,573,061.00
Year: 1953, Average Revenue: $21,009,968.00
Year: 1954, Average Revenue: $9,770,447.00
Year: 1955, Average Revenue: $12,048,459.00
Year: 1956, Average Revenue: $22,025,401.00
Year: 1957, Average Revenue: $7,700,292.00
Year: 1958, Average Revenue: $11,670,149.00
Year: 1959, Average Revenue: $28,379,100.00
Year: 1960, Average Revenue: $15,293,211.00
Year: 1961, Average Revenue: $22,801,303.00
Year: 1962, Average Revenue: $25,649,262.00
Year: 1963, Average Revenue: $23,320,634.00
Year: 1964, Average Revenue: $27,826,110.00
Year: 1965, Average Revenue: $56,086,126.00
Year: 1966, Average Revenue: $12,308,294.00
Year: 1967, Average Revenue: $32,420,013.00
Year: 1968, Average Revenue: $20,389,439.00
Year: 1969, Average Revenue: $24,494,604.00
Year: 1970, Average Revenue: $30,526,523.00
Year: 1971, Average Revenue: $27,633,520.00
Year: 1972, Average Revenue: $40,520,714.00
Year: 1973, Average Revenue: $55,773,973.00
Year: 1974, Average Revenue: $44,911,715.00
Year: 1975, Average Revenue: $42,456,207.00
Year: 1976, Average Revenue: $40,651,540.00
Year: 1977, Average Revenue: $77,031,733.00
Year: 1978, Average Revenue: $37,378,748.00
Year: 1979, Average Revenue: $51,526,713.00
Year: 1980, Average Revenue: $36,254,253.00
Year: 1981, Average Revenue: $32,773,091.00
Year: 1982, Average Revenue: $44,713,626.00
Year: 1983, Average Revenue: $31,633,004.00
Year: 1984, Average Revenue: $38,922,361.00
Year: 1985, Average Revenue: $33,019,747.00
Year: 1986, Average Revenue: $30,524,069.00
Year: 1987, Average Revenue: $31,019,005.00
Year: 1988, Average Revenue: $32,368,384.00
Year: 1989, Average Revenue: $52,783,225.00
Year: 1990, Average Revenue: $55,660,055.00
Year: 1991, Average Revenue: $44,345,296.00
Year: 1992, Average Revenue: $55,685,114.00
Year: 1993, Average Revenue: $52,036,834.00
Year: 1994, Average Revenue: $59,313,053.00
Year: 1995, Average Revenue: $63,698,566.00
Year: 1996, Average Revenue: $61,216,641.00
Year: 1997, Average Revenue: $72,625,317.00
Year: 1998, Average Revenue: $65,407,851.00
Year: 1999, Average Revenue: $76,315,790.00
Year: 2000, Average Revenue: $74,456,598.00
Year: 2001, Average Revenue: $79,852,402.00
Year: 2002, Average Revenue: $77,232,785.00
Year: 2003, Average Revenue: $87,595,144.00
Year: 2004, Average Revenue: $84,526,956.00
Year: 2005, Average Revenue: $71,241,256.00
Year: 2006, Average Revenue: $65,368,773.00
Year: 2007, Average Revenue: $76,370,132.00
Year: 2008, Average Revenue: $77,651,226.00
Year: 2009, Average Revenue: $82,288,893.00
Year: 2010, Average Revenue: $76,624,754.00
Year: 2011, Average Revenue: $77,817,442.00
Year: 2012, Average Revenue: $85,438,535.00
Year: 2013, Average Revenue: $79,132,636.00
Year: 2014, Average Revenue: $82,378,182.00
Year: 2015, Average Revenue: $92,965,685.00
Year: 2016, Average Revenue: $101,999,586.00
Year: 2017, Average Revenue: $153,835,663.00
Execution Time: 4.74 seconds
